operator;monster;salgsform;kundetype;kode;gyldig_fra;gyldig_til;merknad
Telia;telia mobil 5gb;uten;any;TEMOBIL5GB;;;
Telia;telia mobil 5gb;terminal;any;TEMOBIL5GBAVT;;;
Telia;telia mobil 5gb;tilbehor;ny;TE5GBTILNY;;;
Telia;telia mobil 5gb;tilbehor;eks;TE5GBTILEKS;;;
Telia;telia mobil 10gb;uten;any;TEMOBIL10GB;;;
Telia;telia mobil 10gb;terminal;any;TEMOBIL10AVT;;;
Telia;telia mobil 10gb;tilbehor;ny;TE10GBTILNY;;;
Telia;telia mobil 10gb;tilbehor;eks;TE10GBTILEKS;;;
Telia;telia x start;uten;any;TELIAXSTART;;;
Telia;telia x start;terminal;any;TEXSTARTAVT;;;
Telia;telia x start;tilbehor;ny;TEXSTATILNY;;;
Telia;telia x start;tilbehor;eks;TEXSTATILEKS;;;
Telia;telia x basis;uten;any;TELIAXBASIS;;;
Telia;telia x basis;terminal;any;TEXBASISAVT;;;
Telia;telia x basis;tilbehor;ny;TEXBASTILNY;;;
Telia;telia x basis;tilbehor;eks;TEXBASTILEKS;;;
Telia;telia x max pluss;uten;any;TELIAXMAXP;;;
Telia;telia x max pluss;terminal;any;TEXMAXPAVT;;;
Telia;telia x max pluss;tilbehor;ny;TEXMAXPTILNY;;;
Telia;telia x max pluss;tilbehor;eks;TEXMAXPTILEKS;;;
Telia;telia x max;uten;any;TELIAXMAX;;;
Telia;telia x max;terminal;any;TEXMAXAVT;;;
Telia;telia x max;tilbehor;ny;TEXMAXTILNY;;;
Telia;telia x max;tilbehor;eks;TEXMAXTILEKS;;;
Telia;telia x ung;uten;any;TELIAXUNG;;;
Telia;telia x ung;terminal;any;TELIAXUNGAVT;;;
Telia;telia x ung;tilbehor;ny;TEXUNGTILNY;;;
Telia;telia x ung;tilbehor;eks;TEXUNGTILEKS;;;
Telia;telia x viaplay;uten;any;TEXVIAPLAY;;;
Telia;telia x viaplay;terminal;any;TEXVIAAVT;;;
Telia;telia x viaplay;tilbehor;ny;TEXVIATILBNY;;;
Telia;telia x viaplay;tilbehor;eks;TEXVIATILBEKS;;;
Telia;telia x intro;uten;any;TELIAXINTRO;;;
Telia;telia ung 10gb;uten;any;TEUNG10GB;;;
Telia;telia ung 10gb;terminal;any;TEUNG10GBAVT;;;
Telia;telia junior 1gb;uten;any;TEJR1GB;;;
Telia;telia junior 1gb;terminal;any;TEJR1GBAVT;;;
Telia;telia junior 1gb;tilbehor;ny;TEJR1GBTILNY;;;
Telia;telia junior 1gb;tilbehor;eks;TEJR1GBTILEKS;;;
Telia;telia junior 5gb;tilbehor;ny;TEJR5GBTILNY;;;
Telia;telia junior 5gb;tilbehor;eks;TEJR5GBTILEKS;;;
Telia;telia junior 10gb;uten;any;TEJR10GB;;;
Telia;telia junior 10gb;terminal;any;TEJR10GBAVT;;;
Telia;telia junior 10gb;tilbehor;ny;TE10GBTILNY;;;ingen egen TEJR10GB-tilbehørskode → bruk generisk TELIA 10GB
Telia;telia junior 10gb;tilbehor;eks;TE10GBTILEKS;;;ingen egen TEJR10GB-tilbehørskode → bruk generisk TELIA 10GB
ice;icemax;uten;any;SICEMAX;;;iceMax Kampanje 12 mnd = RABATT (ikke binding) -> SICEMAX
ice;icemax;binding;any;SICEMAX12;;;iceMax med terminalbinding -> ...12
ice;icejunior 3 gb;uten;any;SICEJR3GB;;;iceJunior 3 GB (barneabonnement, nytt nummer)
ice;mobil 5 gb;uten;any;SICELAN5GB;;;
ice;mobil 5 gb;binding;any;SICELAN5GB12;;;
ice;mobil 18 gb;uten;any;SICELAN18GB;;;
ice;mobil 18 gb;binding;any;SICELAN18GB12;;;
ice;iceung 5 gb;uten;any;SICEUNG5GB;;;
ice;iceung 5 gb;binding;any;SICEUNG5GB12;;;
ice;iceung 18 gb;uten;any;SICEUNG18GB;;;
ice;iceung 18 gb;binding;any;SICEUNG18GB12;;;
ice;iceung max;uten;any;SICEUNGMAX;;;
ice;iceung max;binding;any;SICEUNGMAX12;;;
ice;iceung max med netflix;uten;any;SICEUMAXNET;;;
ice;iceung max med netflix;binding;any;SICEUMAXNET12;;;
